month,year,value
1,1981,86.1
2,1981,87.5
3,1981,98.1
4,1981,96.1
5,1981,85.9
6,1981,89.1
7,1981,94.1
8,1981,90.3
9,1981,85.4
10,1981,85.1
11,1981,88.0
12,1981,127.9
1,1982,86.9
2,1982,90.4
3,1982,101.7
4,1982,97.2
5,1982,89.3
6,1982,93.7
7,1982,97.1
8,1982,92.7
9,1982,86.8
10,1982,89.9
11,1982,90.4
12,1982,130.4
1,1983,90.3
2,1983,91.1
3,1983,101.5
4,1983,98.9
5,1983,88.5
6,1983,92.3
7,1983,97.7
8,1983,93.4
9,1983,87.2
10,1983,90.3
11,1983,91.6
12,1983,132.5
1,1984,87.8
2,1984,92.1
3,1984,100.8
4,1984,100.2
5,1984,90.1
6,1984,93.0
7,1984,98.6
8,1984,93.5
9,1984,90.2
10,1984,91.5
11,1984,91.6
12,1984,132.6
1,1985,90.7
2,1985,92.3
3,1985,104.2
4,1985,102.1
5,1985,90.6
6,1985,93.3
7,1985,99.1
8,1985,93.8
9,1985,90.4
10,1985,92.0
11,1985,93.4
12,1985,132.7
1,1986,91.1
2,1986,92.6
3,1986,103.1
4,1986,102.6
5,1986,92.0
6,1986,95.2
7,1986,100.8
8,1986,97.1
9,1986,91.2
10,1986,94.0
11,1986,94.7
12,1986,130.5
1,1987,92.4
2,1987,95.0
3,1987,105.6
4,1987,103.5
5,1987,94.7
6,1987,95.9
7,1987,103.1
8,1987,98.3
9,1987,92.9
10,1987,96.3
11,1987,96.9
12,1987,133.8
1,1988,96.5
2,1988,97.8
3,1988,108.6
4,1988,107.2
5,1988,98.9
6,1988,98.2
7,1988,107.1
8,1988,101.5
9,1988,96.8
10,1988,97.6
11,1988,98.3
12,1988,137.6
1,1989,97.6
2,1989,99.0
3,1989,115.4
4,1989,106.6
5,1989,96.3
6,1989,99.2
7,1989,107.1
8,1989,100.0
9,1989,97.5
10,1989,99.1
11,1989,101.6
12,1989,140.9
1,1990,100.4
2,1990,101.8
3,1990,112.6
4,1990,110.9
5,1990,100.1
6,1990,101.6
7,1990,109.0
8,1990,102.4
9,1990,99.2
10,1990,99.7
11,1990,98.6
12,1990,140.3
1,1991,101.3
2,1991,102.4
3,1991,114.6
4,1991,111.0
5,1991,100.7
6,1991,106.9
7,1991,111.5
8,1991,106.0
9,1991,101.2
10,1991,102.8
11,1991,102.7
