month,year,value
1,1981,170.0 
2,1981,165.6 
3,1981,216.4 
4,1981,182.4 
5,1981,168.0 
6,1981,190.4 
7,1981,185.9 
8,1981,144.8 
9,1981,138.6 
10,1981,167.1 
11,1981,193.8 
12,1981,321.6 
1,1982,175.5 
2,1982,166.9 
3,1982,222.6 
4,1982,191.2 
5,1982,177.3 
6,1982,176.0 
7,1982,192.7 
8,1982,154.5 
9,1982,140.1 
10,1982,175.7 
11,1982,176.0 
12,1982,312.8 
1,1983,162.4 
2,1983,160.3 
3,1983,209.3 
4,1983,199.8 
5,1983,171.5 
6,1983,180.5 
7,1983,196.4 
8,1983,140.5 
9,1983,133.0 
10,1983,173.6 
11,1983,181.1 
12,1983,300.4 
1,1984,166.7 
2,1984,158.8 
3,1984,206.0 
4,1984,174.7 
5,1984,165.0 
6,1984,180.0 
7,1984,196.6 
8,1984,145.7 
9,1984,140.3 
10,1984,166.7 
11,1984,172.9 
12,1984,285.8 
1,1985,166.1 
2,1985,154.4 
3,1985,207.8 
4,1985,190.0 
5,1985,165.7 
6,1985,184.5 
7,1985,200.2 
8,1985,133.8 
9,1985,148.3 
10,1985,174.8 
11,1985,182.4 
12,1985,316.8 
1,1986,178.0 
2,1986,151.3 
3,1986,214.7 
4,1986,179.8 
5,1986,173.0 
6,1986,181.5 
7,1986,189.6 
8,1986,141.1 
9,1986,135.1 
10,1986,182.8 
11,1986,186.9 
12,1986,276.4 
1,1987,174.1 
2,1987,153.5 
3,1987,206.3 
4,1987,184.8 
5,1987,178.5 
6,1987,170.4 
7,1987,191.3 
8,1987,135.0 
9,1987,145.7 
10,1987,177.8 
11,1987,192.4 
12,1987,300.0 
1,1988,184.1 
2,1988,168.5 
3,1988,202.6 
4,1988,196.7 
5,1988,175.9 
6,1988,177.4 
7,1988,201.0 
8,1988,140.3 
9,1988,151.3 
10,1988,200.8 
11,1988,200.6 
12,1988,293.5 
1,1989,194.3 
2,1989,163.3 
3,1989,239.5 
4,1989,174.4 
5,1989,173.7 
6,1989,182.2 
7,1989,206.7 
8,1989,130.7 
9,1989,146.5 
10,1989,196.3 
11,1989,195.6 
12,1989,285.3 
1,1990,189.7 
2,1990,160.1 
3,1990,226.7 
4,1990,203.8 
5,1990,179.5 
6,1990,192.8 
7,1990,204.4 
8,1990,132.8 
9,1990,152.4 
10,1990,185.1 
11,1990,192.0 
12,1990,289.8 
1,1991,196.7 
2,1991,163.4 
3,1991,230.7 
4,1991,198.6 
5,1991,171.5 
6,1991,204.6 
7,1991,215.7 
8,1991,141.1 
9,1991,142.0 
10,1991,182.0 
11,1991,185.3 
12,1991,263.6 
1,1992,186.3 
2,1992,154.7 
