month,year,value
1,1981,45.4 
2,1981,41.5 
3,1981,52.3 
4,1981,59.4 
5,1981,43.4 
6,1981,49.4 
7,1981,54.9 
8,1981,54.5 
9,1981,51.3 
10,1981,45.5 
11,1981,44.6 
12,1981,60.2 
1,1982,40.3 
2,1982,45.0 
3,1982,58.4 
4,1982,54.4 
5,1982,51.6 
6,1982,53.5 
7,1982,52.9 
8,1982,55.2 
9,1982,46.0 
10,1982,46.4 
11,1982,52.5 
12,1982,63.2 
1,1983,47.9 
2,1983,48.5 
3,1983,57.0 
4,1983,62.1 
5,1983,44.6 
6,1983,49.4 
7,1983,63.3 
8,1983,62.0 
9,1983,50.8 
10,1983,51.4 
11,1983,55.9 
12,1983,74.3 
1,1984,48.4 
2,1984,54.3 
3,1984,58.1 
4,1984,61.0 
5,1984,54.8 
6,1984,52.5 
7,1984,59.9 
8,1984,63.1 
9,1984,51.5 
10,1984,56.0 
11,1984,54.6 
12,1984,74.1 
1,1985,48.5 
2,1985,50.2 
3,1985,65.7 
4,1985,67.9 
5,1985,53.9 
6,1985,50.6 
7,1985,60.9 
8,1985,63.0 
9,1985,54.0 
10,1985,55.7 
11,1985,62.1 
12,1985,61.7 
1,1986,45.9 
2,1986,51.7 
3,1986,62.2 
4,1986,65.6 
5,1986,53.2 
6,1986,57.0 
7,1986,67.9 
8,1986,65.7 
9,1986,55.4 
10,1986,59.3 
11,1986,58.3 
12,1986,66.1 
1,1987,51.1 
2,1987,56.9 
3,1987,67.1 
4,1987,66.4 
5,1987,63.8 
6,1987,52.9 
7,1987,68.4 
8,1987,68.1 
9,1987,58.4 
10,1987,55.1 
11,1987,63.0 
12,1987,67.6 
1,1988,50.1 
2,1988,55.0 
3,1988,80.9 
4,1988,66.6 
5,1988,60.9 
6,1988,53.9 
7,1988,76.7 
8,1988,69.0 
9,1988,64.3 
10,1988,59.1 
11,1988,66.6 
12,1988,75.3 
1,1989,49.1 
2,1989,63.2 
3,1989,78.8 
4,1989,66.9 
5,1989,55.9 
6,1989,63.0 
7,1989,72.3 
8,1989,70.3 
9,1989,64.8 
10,1989,64.0 
11,1989,69.2 
12,1989,81.2 
1,1990,58.1 
2,1990,59.3 
3,1990,79.7 
4,1990,70.1 
5,1990,61.4 
6,1990,65.2 
7,1990,74.9 
8,1990,70.4 
9,1990,70.3 
10,1990,65.3 
11,1990,65.9 
12,1990,78.5 
1,1991,55.6 
2,1991,60.2 
3,1991,75.5 
4,1991,69.3 
5,1991,66.1 
6,1991,68.9 
7,1991,76.3 
8,1991,81.3 
9,1991,73.8 
10,1991,69.9 
11,1991,68.9 
12,1991,78.2 
1,1992,58.8 
2,1992,59.0 
3,1992,75.4 
4,1992,79.4 
5,1992,68.7 
6,1992,63.9 
7,1992,81.9 
8,1992,75.7 
9,1992,66.6 
10,1992,63.9 
11,1992,70.0 
12,1992,91.9 
1,1993,60.0 
2,1993,70.3 
3,1993,92.3 
4,1993,84.3 
5,1993,67.0 
6,1993,76.0 
7,1993,81.9 
8,1993,80.3 
9,1993,67.6 
10,1993,67.6 
11,1993,74.6 
12,1993,93.5 
1,1994,64.3 
2,1994,69.4 
3,1994,77.0 
4,1994,84.2 
5,1994,67.2 
6,1994,70.2 
7,1994,81.2 
8,1994,78.6 
9,1994,77.8 
10,1994,75.9 
11,1994,78.2 
12,1994,84.9 
1,1995,63.9 
2,1995,68.6 
3,1995,88.5 
4,1995,81.2 
5,1995,67.4 
6,1995,73.3 
7,1995,87.5 
8,1995,81.6 
9,1995,78.5 
10,1995,74.2 
11,1995,68.7 
12,1995,89.7 
1,1996,69.4 
2,1996,78.8 
3,1996,83.2 
4,1996,83.9 
5,1996,72.5 
6,1996,80.9 
7,1996,90.8 
8,1996,86.5 
9,1996,80.5 
10,1996,82.6 
11,1996,82.5 
12,1996,100.4 
1,1997,68.4 
2,1997,80.4 
3,1997,97.3 
4,1997,87.9 
5,1997,75.1 
6,1997,72.9 
7,1997,87.2 
8,1997,92.3 
9,1997,86.8 
10,1997,80.7 
11,1997,76.7 
12,1997,87.9 
1,1998,72.5 
2,1998,86.5 
3,1998,103.4 
4,1998,88.6 
5,1998,74.9 
6,1998,85.4 
7,1998,87.5 
8,1998,85.3 
9,1998,79.9 
10,1998,82.9 
11,1998,76.6 
12,1998,92.2 
1,1999,77.0 
2,1999,70.1 
3,1999,97.6 
4,1999,81.8 
5,1999,81.8 
6,1999,78.7 
7,1999,94.0 
8,1999,88.3 
9,1999,83.5 
10,1999,76.4 
11,1999,83.9 
12,1999,89.5 
1,2000,74.1 
2,2000,78.9 
3,2000,92.4 
4,2000,101.0 
5,2000,85.5 
6,2000,84.0 
7,2000,96.0 
8,2000,83.7 
9,2000,89.6 
10,2000,79.0 
11,2000,90.0 
12,2000,101.7 
1,2001,76.2 
2,2001,102.4 
3,2001,103.9 
4,2001,95.4 
5,2001,80.4 
6,2001,78.1 
7,2001,97.6 
8,2001,86.6 
9,2001,82.1 
10,2001,88.2 
11,2001,94.1 
12,2001,91.5 
1,2002,85.5 
2,2002,85.5 
3,2002,104.8 
4,2002,93.7 
5,2002,81.2 
6,2002,87.0 
7,2002,97.5 
8,2002,84.4 
9,2002,93.8 
10,2002,88.9 
11,2002,91.7 
12,2002,93.3 
1,2003,84.1 
2,2003,92.5 
3,2003,104.1 
4,2003,102.1 
5,2003,78.3 
6,2003,93.6 
7,2003,99.5 
8,2003,93.7 
9,2003,92.3 
10,2003,90.3 
11,2003,95.5 
12,2003,91.0 
1,2004,85.5 
2,2004,104.1 
3,2004,111.2 
4,2004,113.5 
5,2004,95.6 
6,2004,86.2 
7,2004,98.0 
8,2004,95.9 
9,2004,93.7 
10,2004,90.3 
11,2004,92.9 
12,2004,98.3 
1,2005,91.1 
2,2005,100.0 
3,2005,112.6 
4,2005,104.0 
5,2005,93.8 
6,2005,95.3 
7,2005,87.1 
8,2005,96.1 
9,2005,101.1 
10,2005,95.9 
11,2005,91.8 
12,2005,94.0 
1,2006,86.3 
2,2006,89.1 
3,2006,95.3 
4,2006,103.9 
5,2006,91.2 
6,2006,93.1 
7,2006,101.4 
8,2006,94.9 
9,2006,86.4 
10,2006,95.9 
11,2006,100.5 
12,2006,96.8 
1,2007,92.0 
2,2007,96.0 
3,2007,105.7 
4,2007,102.4 
5,2007,88.2 
6,2007,88.8 
7,2007,99.6 
8,2007,93.5 
9,2007,93.3 
10,2007,95.7 
11,2007,87.7 
12,2007,99.6 
1,2008,102.6 
2,2008,87.6 
3,2008,95.8 
4,2008,105.0 
5,2008,90.7 
6,2008,92.9 
7,2008,98.2 
8,2008,94.1 
9,2008,95.3 
10,2008,93.2 
11,2008,97.4 
12,2008,99.0 
1,2009,86.8 
2,2009,105.4 
3,2009,104.6 
4,2009,97.7 
5,2009,89.1 
6,2009,100.1 
7,2009,100.0 
8,2009,97.9 
9,2009,98.6 
10,2009,98.0 
11,2009,96.0 
12,2009,109.7 
1,2010,96.3 
2,2010,98.5 
3,2010,118.0 
4,2010,95.7 
5,2010,96.5 
6,2010,96.0 
7,2010,104.7 
8,2010,106.7 
9,2010,101.1 
10,2010,92.4 
11,2010,96.1 
12,2010,98.1 
1,2011,95.5 
2,2011,96.2 
3,2011,101.2 
4,2011,93.9 
5,2011,85.9 
6,2011,85.5 
7,2011,88.0 
8,2011,93.3 
9,2011,90.0 
10,2011,92.8 
11,2011,94.8 
12,2011,95.8 
1,2012,90.2 
2,2012,96.6 
3,2012,108.5 
4,2012,108.9 
5,2012,98.8 
6,2012,102.7 
7,2012,104.6 
8,2012,101.4 
9,2012,101.1 
10,2012,100.2 
11,2012,98.8 
12,2012,104.6 
1,2013,98.1 
2,2013,111.7 
3,2013,121.8 
4,2013,106.9 
5,2013,89.1 
6,2013,92.8 
7,2013,103.1 
8,2013,94.4 
9,2013,105.5 
10,2013,109.4 
11,2013,100.2 
12,2013,113.7 
1,2014,100.1 
2,2014,107.5 
3,2014,137.9 
4,2014,103.5 
5,2014,82.3 
6,2014,95.4 
7,2014,97.9 
8,2014,91.5 
9,2014,112.1 
10,2014,104.5 
11,2014,103.0 
12,2014,98.3 
1,2015,94.2 
2,2015,108.5 
3,2015,115.7 
4,2015,111.0 
5,2015,95.1 
6,2015,94.4 
7,2015,100.1 
8,2015,100.2 
9,2015,102.3 
10,2015,96.8 
11,2015,100.8 
