month,year,value
1,1981,74.1 
2,1981,88.0 
3,1981,86.0 
4,1981,92.7 
5,1981,89.8 
6,1981,102.8 
7,1981,101.5 
8,1981,96.4 
9,1981,93.7 
10,1981,88.9 
11,1981,89.9 
12,1981,140.8 
1,1982,71.7 
2,1982,90.3 
3,1982,82.2 
4,1982,88.1 
5,1982,89.1 
6,1982,104.5 
7,1982,106.5 
8,1982,96.6 
9,1982,92.8 
10,1982,88.4 
11,1982,90.6 
12,1982,144.1 
1,1983,73.7 
2,1983,88.6 
3,1983,91.3 
4,1983,87.8 
5,1983,93.0 
6,1983,113.4 
7,1983,99.8 
8,1983,90.3 
9,1983,90.6 
10,1983,98.5 
11,1983,98.5 
12,1983,143.8 
1,1984,72.8 
2,1984,95.9 
3,1984,89.6 
4,1984,88.7 
5,1984,97.8 
6,1984,103.0 
7,1984,98.2 
8,1984,92.2 
9,1984,89.7 
10,1984,96.2 
11,1984,97.3 
12,1984,147.2 
1,1985,78.8 
2,1985,85.5 
3,1985,84.3 
4,1985,91.8 
5,1985,94.3 
6,1985,92.9 
7,1985,97.8 
8,1985,96.4 
9,1985,90.6 
10,1985,93.7 
11,1985,95.2 
12,1985,152.4 
1,1986,68.4 
2,1986,84.0 
3,1986,83.4 
4,1986,95.5 
5,1986,99.7 
6,1986,105.9 
7,1986,99.9 
8,1986,93.3 
9,1986,98.2 
10,1986,90.5 
11,1986,98.8 
12,1986,143.6 
1,1987,78.6 
2,1987,91.5 
3,1987,86.1 
4,1987,97.0 
5,1987,94.0 
6,1987,110.6 
7,1987,107.2 
8,1987,103.7 
9,1987,99.0 
10,1987,102.4 
11,1987,104.9 
12,1987,140.4 
1,1988,82.8 
2,1988,95.6 
3,1988,92.9 
4,1988,96.1 
5,1988,102.8 
6,1988,105.1 
7,1988,105.9 
8,1988,107.3 
9,1988,100.7 
10,1988,88.4 
11,1988,98.6 
12,1988,138.8 
1,1989,75.3 
2,1989,84.9 
3,1989,92.8 
4,1989,99.3 
5,1989,99.2 
6,1989,106.0 
7,1989,108.7 
8,1989,102.6 
9,1989,96.0 
10,1989,91.6 
11,1989,110.6 
12,1989,138.1 
1,1990,73.7 
2,1990,103.0 
3,1990,85.0 
4,1990,85.3 
5,1990,99.7 
6,1990,96.5 
7,1990,112.5 
8,1990,94.4 
9,1990,87.8 
10,1990,92.4 
11,1990,98.2 
12,1990,140.2 
1,1991,80.2 
2,1991,90.8 
3,1991,94.8 
4,1991,106.6 
5,1991,94.0 
6,1991,113.9 
7,1991,119.4 
8,1991,105.1 
9,1991,102.7 
10,1991,102.5 
11,1991,107.7 
12,1991,157.3 
1,1992,85.3 
2,1992,113.9 
3,1992,102.8 
4,1992,104.2 
5,1992,111.0 
6,1992,120.1 
7,1992,122.4 
8,1992,112.4 
9,1992,111.6 
10,1992,110.7 
11,1992,104.0 
12,1992,136.9 
1,1993,82.8 
2,1993,101.9 
3,1993,101.5 
4,1993,98.7 
5,1993,99.7 
6,1993,115.0 
7,1993,116.3 
8,1993,109.4 
9,1993,114.4 
10,1993,114.1 
11,1993,123.0 
12,1993,148.6 
1,1994,94.3 
2,1994,109.5 
3,1994,105.5 
4,1994,101.5 
5,1994,108.7 
6,1994,131.9 
7,1994,113.2 
8,1994,128.6 
9,1994,116.1 
10,1994,112.6 
11,1994,123.9 
12,1994,170.2 
1,1995,94.3 
2,1995,107.8 
3,1995,118.2 
4,1995,109.2 
5,1995,110.5 
6,1995,110.5 
7,1995,128.7 
8,1995,138.5 
9,1995,120.6 
10,1995,109.8 
11,1995,115.3 
12,1995,170.7 
1,1996,99.8 
2,1996,100.7 
3,1996,111.0 
4,1996,129.9 
5,1996,119.6 
6,1996,136.1 
7,1996,125.6 
8,1996,129.0 
9,1996,103.6 
10,1996,117.6 
11,1996,124.9 
12,1996,161.8 
1,1997,102.5 
2,1997,115.7 
3,1997,126.8 
4,1997,125.7 
5,1997,112.5 
6,1997,127.4 
7,1997,125.0 
8,1997,102.2 
9,1997,116.8 
10,1997,122.9 
11,1997,126.8 
12,1997,149.4 
1,1998,89.6 
2,1998,99.7 
3,1998,105.1 
4,1998,100.2 
5,1998,96.7 
6,1998,113.5 
7,1998,117.4 
8,1998,102.4 
9,1998,112.9 
10,1998,114.7 
11,1998,133.3 
