month,year,value
1,1981,72.2 
2,1981,87.4 
3,1981,74.5 
4,1981,66.3 
5,1981,57.5 
6,1981,54.7 
7,1981,50.2 
8,1981,54.8 
9,1981,55.9 
10,1981,54.1 
11,1981,62.9 
12,1981,79.9 
1,1982,73.3 
2,1982,88.2 
3,1982,76.7 
4,1982,65.9 
5,1982,59.6 
6,1982,55.9 
7,1982,51.4 
8,1982,52.7 
9,1982,56.0 
10,1982,54.6 
11,1982,63.5 
12,1982,74.7 
1,1983,74.4 
2,1983,89.2 
3,1983,79.3 
4,1983,67.7 
5,1983,60.7 
6,1983,57.2 
7,1983,51.4 
8,1983,55.7 
9,1983,60.2 
10,1983,59.6 
11,1983,64.5 
12,1983,80.4 
1,1984,81.0 
2,1984,99.8 
3,1984,87.9 
4,1984,76.1 
5,1984,66.3 
6,1984,61.2 
7,1984,55.3 
8,1984,59.4 
9,1984,63.4 
10,1984,62.1 
11,1984,65.4 
12,1984,82.1 
1,1985,84.4 
2,1985,98.3 
3,1985,83.7 
4,1985,75.1 
5,1985,67.3 
6,1985,61.9 
7,1985,57.2 
8,1985,61.1 
9,1985,67.5 
10,1985,65.9 
11,1985,69.2 
12,1985,86.7 
1,1986,88.2 
2,1986,105.4 
3,1986,89.3 
4,1986,79.7 
5,1986,70.3 
6,1986,67.5 
7,1986,60.2 
8,1986,61.8 
9,1986,68.2 
10,1986,66.5 
11,1986,71.0 
12,1986,82.0 
1,1987,85.7 
2,1987,100.6 
3,1987,87.2 
4,1987,80.8 
5,1987,72.3 
6,1987,68.1 
7,1987,62.4 
8,1987,67.6 
9,1987,72.4 
10,1987,68.1 
11,1987,72.7 
12,1987,86.9 
1,1988,88.0 
2,1988,100.0 
3,1988,91.2 
4,1988,84.8 
5,1988,77.4 
6,1988,70.0 
7,1988,65.6 
8,1988,67.5 
9,1988,70.5 
10,1988,69.7 
11,1988,75.0 
12,1988,85.6 
1,1989,88.5 
2,1989,101.7 
3,1989,87.7 
4,1989,81.0 
5,1989,76.5 
6,1989,70.8 
7,1989,66.3 
8,1989,68.2 
9,1989,73.0 
10,1989,74.0 
11,1989,75.8 
12,1989,87.8 
1,1990,92.0 
2,1990,109.7 
3,1990,91.2 
4,1990,84.3 
5,1990,78.6 
6,1990,72.8 
7,1990,67.8 
8,1990,74.1 
9,1990,80.6 
10,1990,74.9 
11,1990,73.3 
12,1990,87.7 
1,1991,94.4 
2,1991,112.1 
3,1991,94.0 
4,1991,89.7 
5,1991,78.8 
6,1991,74.6 
7,1991,69.8 
8,1991,73.7 
9,1991,78.8 
10,1991,75.0 
11,1991,79.5 
12,1991,91.1 
1,1992,96.0 
2,1992,112.0 
3,1992,99.9 
4,1992,89.3 
5,1992,82.4 
6,1992,78.6 
7,1992,70.1 
8,1992,75.2 
9,1992,82.1 
10,1992,76.4 
11,1992,82.7 
12,1992,95.7 
1,1993,98.2 
2,1993,117.9 
3,1993,103.1 
4,1993,95.7 
5,1993,86.9 
6,1993,80.9 
7,1993,74.2 
8,1993,77.2 
9,1993,80.0 
10,1993,78.9 
11,1993,84.7 
12,1993,93.8 
1,1994,103.6 
2,1994,120.5 
3,1994,106.6 
4,1994,95.8 
5,1994,89.1 
6,1994,79.0 
7,1994,74.9 
8,1994,87.0 
9,1994,90.9 
10,1994,82.8 
11,1994,81.8 
12,1994,92.8 
1,1995,103.5 
2,1995,122.6 
3,1995,103.2 
4,1995,100.1 
5,1995,90.1 
6,1995,84.2 
7,1995,77.1 
8,1995,86.6 
9,1995,93.5 
10,1995,83.9 
11,1995,87.2 
12,1995,101.3 
1,1996,113.3 
2,1996,125.8 
3,1996,110.8 
4,1996,106.3 
5,1996,92.9 
6,1996,85.9 
7,1996,78.2 
8,1996,87.4 
9,1996,89.1 
10,1996,83.9 
11,1996,89.8 
12,1996,102.6 
1,1997,116.0 
2,1997,132.1 
3,1997,110.5 
4,1997,100.9 
5,1997,88.7 
6,1997,82.8 
7,1997,80.6 
8,1997,86.6 
9,1997,91.8 
10,1997,83.4 
11,1997,91.0 
12,1997,98.5 
1,1998,114.4 
2,1998,130.3 
3,1998,111.4 
4,1998,101.7 
5,1998,90.2 
6,1998,85.3 
7,1998,84.2 
8,1998,91.0 
9,1998,92.3 
10,1998,86.9 
11,1998,92.0 
12,1998,100.4 
1,1999,112.8 
2,1999,128.3 
3,1999,113.8 
4,1999,106.2 
5,1999,92.8 
6,1999,87.4 
7,1999,80.8 
8,1999,91.5 
9,1999,93.7 
10,1999,89.4 
11,1999,91.2 
12,1999,102.2 
1,2000,115.0 
2,2000,126.6 
3,2000,116.7 
4,2000,108.3 
5,2000,96.4 
6,2000,87.2 
7,2000,84.7 
8,2000,92.4 
9,2000,97.3 
10,2000,88.9 
11,2000,92.9 
12,2000,105.1 
1,2001,120.0 
2,2001,136.2 
3,2001,112.8 
4,2001,103.6 
5,2001,93.8 
6,2001,85.8 
7,2001,84.3 
8,2001,94.3 
9,2001,93.4 
10,2001,85.9 
11,2001,92.0 
12,2001,105.2 
1,2002,119.6 
2,2002,130.5 
3,2002,107.5 
4,2002,101.7 
5,2002,91.1 
6,2002,87.3 
7,2002,84.3 
8,2002,93.6 
9,2002,97.9 
10,2002,86.1 
11,2002,96.8 
12,2002,108.4 
1,2003,123.0 
2,2003,133.4 
3,2003,114.9 
4,2003,105.8 
5,2003,91.8 
6,2003,88.6 
7,2003,82.6 
8,2003,86.2 
9,2003,93.8 
10,2003,88.7 
11,2003,92.7 
12,2003,101.4 
1,2004,118.7 
2,2004,130.0 
3,2004,114.4 
4,2004,108.7 
5,2004,92.8 
6,2004,88.7 
7,2004,84.0 
8,2004,95.0 
9,2004,91.9 
10,2004,87.7 
11,2004,91.9 
12,2004,100.7 
1,2005,119.5 
2,2005,139.2 
3,2005,118.4 
4,2005,110.3 
5,2005,96.1 
6,2005,90.6 
7,2005,82.4 
8,2005,90.8 
9,2005,93.8 
10,2005,87.0 
11,2005,92.7 
12,2005,110.4 
1,2006,129.9 
2,2006,142.6 
3,2006,116.4 
4,2006,111.9 
5,2006,95.9 
6,2006,89.6 
7,2006,81.7 
8,2006,88.5 
9,2006,90.5 
10,2006,86.1 
11,2006,92.7 
12,2006,107.5 
1,2007,119.9 
2,2007,132.1 
3,2007,112.0 
4,2007,106.3 
5,2007,96.6 
6,2007,87.1 
7,2007,81.5 
8,2007,85.0 
9,2007,90.5 
10,2007,88.0 
11,2007,92.7 
