month,year,value
1,1981,58.4 
2,1981,69.8 
3,1981,68.5 
4,1981,68.7 
5,1981,65.2 
6,1981,75.2 
7,1981,79.1 
8,1981,68.6 
9,1981,69.7 
10,1981,62.0 
11,1981,59.7 
12,1981,81.7 
1,1982,59.7 
2,1982,70.8 
3,1982,78.5 
4,1982,64.7 
5,1982,65.6 
6,1982,76.5 
7,1982,78.9 
8,1982,70.7 
9,1982,67.5 
10,1982,66.8 
11,1982,63.9 
12,1982,83.1 
1,1983,64.3 
2,1983,73.8 
3,1983,76.0 
4,1983,67.7 
5,1983,70.6 
6,1983,78.2 
7,1983,74.7 
8,1983,69.8 
9,1983,69.8 
10,1983,66.3 
11,1983,66.6 
12,1983,96.0 
1,1984,58.9 
2,1984,75.1 
3,1984,78.5 
4,1984,70.7 
5,1984,66.2 
6,1984,73.9 
7,1984,72.8 
8,1984,70.3 
9,1984,67.0 
10,1984,74.2 
11,1984,74.3 
12,1984,79.1 
1,1985,62.5 
2,1985,69.0 
3,1985,72.2 
4,1985,68.5 
5,1985,68.0 
6,1985,71.2 
7,1985,73.2 
8,1985,61.8 
9,1985,66.7 
10,1985,64.9 
11,1985,70.5 
12,1985,82.9 
1,1986,59.3 
2,1986,68.6 
3,1986,69.0 
4,1986,66.9 
5,1986,63.2 
6,1986,65.6 
7,1986,75.5 
8,1986,63.1 
9,1986,66.4 
10,1986,66.4 
11,1986,63.6 
12,1986,88.1 
1,1987,62.2 
2,1987,70.1 
3,1987,72.1 
4,1987,69.2 
5,1987,71.4 
6,1987,76.6 
7,1987,76.7 
8,1987,64.6 
9,1987,65.1 
10,1987,71.7 
11,1987,70.1 
12,1987,81.1 
1,1988,68.7 
2,1988,79.1 
3,1988,79.3 
4,1988,72.0 
5,1988,72.0 
6,1988,71.5 
7,1988,81.4 
8,1988,72.9 
9,1988,75.1 
10,1988,70.2 
11,1988,77.1 
12,1988,94.7 
1,1989,70.7 
2,1989,76.0 
3,1989,83.0 
4,1989,70.1 
5,1989,76.7 
6,1989,79.3 
7,1989,76.6 
8,1989,76.0 
9,1989,74.5 
10,1989,75.9 
11,1989,80.7 
12,1989,93.3 
1,1990,74.2 
2,1990,85.4 
3,1990,84.2 
4,1990,83.7 
5,1990,84.1 
6,1990,91.4 
7,1990,84.2 
8,1990,80.3 
9,1990,79.3 
10,1990,84.3 
11,1990,81.7 
12,1990,95.0 
1,1991,72.4 
2,1991,81.0 
3,1991,81.0 
4,1991,82.6 
5,1991,77.4 
6,1991,94.7 
7,1991,86.3 
8,1991,88.4 
9,1991,82.7 
10,1991,89.8 
11,1991,83.8 
12,1991,98.7 
1,1992,82.0 
2,1992,91.0 
3,1992,82.2 
4,1992,79.0 
5,1992,79.4 
6,1992,89.9 
7,1992,87.0 
8,1992,75.7 
9,1992,87.0 
10,1992,83.1 
11,1992,84.1 
12,1992,101.0 
1,1993,80.5 
2,1993,94.1 
3,1993,92.4 
4,1993,94.5 
5,1993,80.0 
6,1993,93.8 
7,1993,91.3 
8,1993,87.5 
9,1993,85.8 
10,1993,85.8 
11,1993,85.9 
12,1993,105.7 
1,1994,77.9 
2,1994,89.7 
3,1994,91.0 
4,1994,88.4 
5,1994,81.3 
6,1994,85.0 
7,1994,96.2 
8,1994,84.4 
9,1994,90.2 
10,1994,79.4 
11,1994,88.0 
12,1994,104.5 
1,1995,82.4 
2,1995,90.3 
3,1995,97.8 
4,1995,87.7 
5,1995,84.0 
6,1995,89.4 
7,1995,90.3 
8,1995,90.4 
9,1995,87.7 
10,1995,85.4 
11,1995,85.7 
12,1995,99.4 
1,1996,81.2 
2,1996,95.9 
3,1996,90.2 
4,1996,85.9 
5,1996,90.6 
6,1996,101.1 
7,1996,91.2 
8,1996,98.3 
9,1996,88.0 
10,1996,89.4 
11,1996,92.1 
12,1996,104.9 
1,1997,91.1 
2,1997,94.9 
3,1997,105.9 
4,1997,84.6 
5,1997,85.6 
6,1997,92.0 
7,1997,102.6 
8,1997,92.1 
9,1997,89.2 
10,1997,89.9 
11,1997,83.4 
12,1997,103.1 
1,1998,85.7 
2,1998,90.5 
3,1998,87.6 
4,1998,96.5 
5,1998,86.7 
6,1998,92.6 
7,1998,90.3 
8,1998,92.8 
9,1998,85.7 
10,1998,85.4 
11,1998,89.6 
12,1998,97.1 
1,1999,82.9 
2,1999,96.2 
3,1999,90.5 
4,1999,90.4 
5,1999,88.1 
6,1999,93.8 
7,1999,98.9 
8,1999,91.1 
9,1999,91.1 
10,1999,90.0 
11,1999,93.5 
12,1999,100.3 
1,2000,85.9 
2,2000,100.0 
3,2000,93.4 
4,2000,91.8 
5,2000,89.6 
6,2000,91.1 
7,2000,93.8 
8,2000,88.3 
9,2000,81.7 
10,2000,90.2 
11,2000,95.7 
12,2000,105.2 
1,2001,82.9 
2,2001,96.5 
3,2001,101.7 
4,2001,93.2 
5,2001,94.7 
6,2001,94.4 
7,2001,88.9 
8,2001,85.8 
9,2001,91.5 
10,2001,93.9 
11,2001,99.0 
12,2001,102.8 
1,2002,92.6 
2,2002,98.1 
3,2002,103.7 
4,2002,91.4 
5,2002,89.6 
6,2002,93.1 
7,2002,94.6 
8,2002,88.9 
9,2002,85.5 
10,2002,93.1 
11,2002,96.6 
12,2002,110.4 
1,2003,98.0 
2,2003,105.0 
3,2003,101.7 
4,2003,96.7 
5,2003,92.2 
6,2003,99.0 
7,2003,101.7 
8,2003,90.6 
9,2003,101.4 
10,2003,92.7 
11,2003,95.5 
12,2003,106.2 
1,2004,97.4 
2,2004,98.2 
3,2004,97.2 
4,2004,97.8 
5,2004,89.3 
6,2004,101.4 
7,2004,95.5 
8,2004,89.0 
9,2004,90.7 
10,2004,97.1 
11,2004,102.4 
12,2004,101.4 
1,2005,95.7 
2,2005,104.6 
3,2005,104.4 
4,2005,107.1 
5,2005,97.3 
6,2005,103.5 
7,2005,101.0 
8,2005,103.0 
9,2005,100.5 
10,2005,98.3 
11,2005,109.0 
12,2005,113.9 
1,2006,97.1 
2,2006,105.8 
3,2006,95.6 
4,2006,94.5 
5,2006,98.1 
6,2006,109.8 
7,2006,89.1 
8,2006,100.0 
9,2006,105.7 
10,2006,101.0 
11,2006,110.2 
12,2006,116.5 
1,2007,95.7 
2,2007,106.3 
3,2007,102.1 
4,2007,99.8 
5,2007,102.9 
6,2007,109.5 
7,2007,102.7 
8,2007,101.4 
9,2007,101.3 
10,2007,102.7 
11,2007,112.1 
12,2007,112.6 
1,2008,100.1 
