month,year,value
1,1981,48.5 
2,1981,51.2 
3,1981,64.5 
4,1981,54.3 
5,1981,51.6 
6,1981,67.8 
7,1981,87.6 
8,1981,59.2 
9,1981,59.0 
10,1981,63.5 
11,1981,70.8 
12,1981,116.2 
1,1982,44.5 
2,1982,59.1 
3,1982,57.8 
4,1982,57.8 
5,1982,59.2 
6,1982,73.5 
7,1982,73.3 
8,1982,62.2 
9,1982,58.8 
10,1982,65.9 
11,1982,78.1 
12,1982,126.4 
1,1983,52.2 
2,1983,56.2 
3,1983,60.8 
4,1983,58.8 
5,1983,57.7 
6,1983,73.5 
7,1983,77.1 
8,1983,70.9 
9,1983,62.3 
10,1983,63.7 
11,1983,78.8 
12,1983,126.7 
1,1984,51.4 
2,1984,62.2 
3,1984,59.0 
4,1984,60.4 
5,1984,52.3 
6,1984,71.9 
7,1984,97.1 
8,1984,63.2 
9,1984,70.7 
10,1984,64.0 
11,1984,78.6 
12,1984,125.2 
1,1985,56.2 
2,1985,57.5 
3,1985,62.4 
4,1985,63.8 
5,1985,61.1 
6,1985,74.1 
7,1985,93.8 
8,1985,67.6 
9,1985,67.1 
10,1985,75.1 
11,1985,81.2 
12,1985,135.2 
1,1986,53.2 
2,1986,57.4 
3,1986,58.1 
4,1986,61.4 
5,1986,59.3 
6,1986,74.4 
7,1986,86.5 
8,1986,77.1 
9,1986,63.8 
10,1986,74.4 
11,1986,76.5 
12,1986,122.5 
1,1987,55.4 
2,1987,56.5 
3,1987,66.4 
4,1987,64.1 
5,1987,63.7 
6,1987,82.7 
7,1987,95.6 
8,1987,74.0 
9,1987,69.7 
10,1987,71.8 
11,1987,86.5 
12,1987,127.9 
1,1988,59.1 
2,1988,70.9 
3,1988,63.5 
4,1988,68.0 
5,1988,65.5 
6,1988,77.8 
7,1988,89.6 
8,1988,68.5 
9,1988,64.7 
10,1988,73.1 
11,1988,82.4 
12,1988,136.0 
1,1989,59.4 
2,1989,60.5 
3,1989,85.4 
4,1989,58.8 
5,1989,60.0 
6,1989,70.7 
7,1989,102.7 
8,1989,69.9 
9,1989,69.3 
10,1989,79.5 
11,1989,83.1 
12,1989,132.3 
1,1990,64.7 
2,1990,63.1 
3,1990,73.1 
4,1990,76.5 
5,1990,64.4 
6,1990,88.3 
7,1990,102.7 
8,1990,78.0 
9,1990,67.5 
10,1990,75.5 
11,1990,78.4 
12,1990,131.7 
1,1991,70.1 
2,1991,64.4 
3,1991,73.5 
4,1991,75.4 
5,1991,79.5 
6,1991,100.0 
7,1991,98.2 
8,1991,85.7 
9,1991,75.7 
10,1991,80.9 
11,1991,94.9 
12,1991,135.5 
1,1992,68.6 
2,1992,72.5 
3,1992,81.0 
4,1992,76.5 
5,1992,76.7 
6,1992,83.1 
7,1992,98.7 
8,1992,76.6 
9,1992,67.0 
10,1992,85.2 
11,1992,85.2 
12,1992,128.7 
1,1993,62.5 
2,1993,72.0 
3,1993,69.9 
4,1993,71.9 
5,1993,74.8 
6,1993,78.3 
7,1993,95.0 
8,1993,76.8 
9,1993,76.4 
10,1993,72.5 
11,1993,87.6 
12,1993,130.0 
1,1994,66.4 
2,1994,68.4 
3,1994,74.8 
4,1994,83.5 
5,1994,66.1 
6,1994,76.5 
7,1994,117.0 
8,1994,87.7 
9,1994,76.1 
