month,year,value
1,1981,80.7 
2,1981,131.6 
3,1981,125.9 
4,1981,133.3 
5,1981,75.0 
6,1981,63.4 
7,1981,73.8 
8,1981,34.0 
9,1981,89.2 
10,1981,82.9 
11,1981,66.3 
12,1981,72.5 
1,1982,85.1 
2,1982,122.9 
3,1982,143.3 
4,1982,152.0 
5,1982,77.0 
6,1982,68.8 
7,1982,76.9 
8,1982,40.2 
9,1982,91.4 
10,1982,83.8 
11,1982,62.3 
12,1982,74.5 
1,1983,80.5 
2,1983,107.5 
3,1983,112.8 
4,1983,131.3 
5,1983,78.1 
6,1983,69.4 
7,1983,80.6 
8,1983,42.4 
9,1983,94.4 
10,1983,86.4 
11,1983,69.7 
12,1983,79.5 
1,1984,79.1 
2,1984,129.4 
3,1984,119.4 
4,1984,162.5 
5,1984,83.2 
6,1984,71.9 
7,1984,81.0 
8,1984,41.3 
9,1984,91.0 
10,1984,94.4 
11,1984,69.4 
12,1984,85.6 
1,1985,88.1 
2,1985,123.8 
3,1985,129.9 
4,1985,142.4 
5,1985,79.2 
6,1985,70.4 
7,1985,84.2 
8,1985,44.9 
9,1985,90.3 
10,1985,95.3 
11,1985,69.4 
12,1985,83.7 
1,1986,96.5 
2,1986,110.4 
3,1986,123.5 
4,1986,150.7 
5,1986,82.8 
6,1986,74.6 
7,1986,80.8 
8,1986,45.9 
9,1986,97.6 
10,1986,104.6 
11,1986,74.4 
12,1986,79.8 
1,1987,85.0 
2,1987,125.7 
3,1987,139.9 
4,1987,152.0 
5,1987,81.2 
6,1987,71.6 
7,1987,85.1 
8,1987,45.1 
9,1987,104.0 
10,1987,107.4 
11,1987,72.7 
12,1987,94.8 
1,1988,90.2 
2,1988,135.3 
3,1988,139.7 
4,1988,167.7 
5,1988,83.6 
6,1988,74.5 
7,1988,83.6 
8,1988,47.8 
9,1988,117.3 
10,1988,102.1 
11,1988,73.3 
12,1988,85.8 
1,1989,89.7 
2,1989,124.0 
3,1989,151.3 
4,1989,165.7 
5,1989,90.3 
6,1989,80.4 
7,1989,86.6 
8,1989,54.0 
9,1989,116.7 
10,1989,105.4 
11,1989,87.4 
12,1989,97.5 
1,1990,99.8 
2,1990,145.2 
3,1990,166.0 
4,1990,185.6 
5,1990,93.6 
6,1990,75.3 
7,1990,86.2 
8,1990,56.8 
9,1990,114.8 
10,1990,117.5 
11,1990,84.4 
12,1990,88.0 
1,1991,95.4 
2,1991,135.7 
3,1991,144.3 
4,1991,166.4 
5,1991,90.8 
6,1991,69.0 
7,1991,85.3 
8,1991,51.1 
9,1991,112.6 
10,1991,107.1 
11,1991,87.0 
12,1991,88.8 
1,1992,101.5 
2,1992,151.7 
3,1992,160.0 
4,1992,166.2 
5,1992,79.6 
6,1992,71.7 
7,1992,90.0 
8,1992,53.5 
9,1992,131.2 
10,1992,114.4 
11,1992,83.7 
12,1992,95.4 
1,1993,92.7 
2,1993,135.7 
3,1993,156.1 
4,1993,181.8 
5,1993,79.3 
6,1993,70.8 
7,1993,86.2 
8,1993,54.3 
9,1993,121.7 
10,1993,107.4 
11,1993,82.7 
12,1993,93.8 
1,1994,109.6 
2,1994,146.0 
3,1994,146.1 
4,1994,182.6 
5,1994,86.2 
6,1994,80.1 
7,1994,82.9 
8,1994,55.7 
9,1994,124.8 
10,1994,110.7 
11,1994,78.4 
12,1994,77.6 
1,1995,101.3 
2,1995,126.0 
3,1995,147.9 
4,1995,182.7 
5,1995,84.0 
6,1995,74.7 
7,1995,79.4 
8,1995,57.5 
9,1995,129.8 
10,1995,118.6 
11,1995,84.3 
12,1995,80.0 
1,1996,99.1 
2,1996,126.8 
3,1996,132.2 
4,1996,191.2 
5,1996,78.5 
6,1996,65.7 
7,1996,82.5 
8,1996,55.3 
9,1996,129.1 
10,1996,99.5 
11,1996,97.7 
12,1996,92.4 
1,1997,95.5 
2,1997,118.9 
3,1997,123.7 
4,1997,181.6 
5,1997,86.2 
6,1997,71.5 
7,1997,92.2 
8,1997,62.6 
9,1997,130.8 
10,1997,120.9 
11,1997,88.3 
12,1997,93.8 
1,1998,93.0 
2,1998,125.2 
3,1998,150.8 
4,1998,172.8 
5,1998,76.1 
6,1998,63.2 
7,1998,74.5 
8,1998,53.4 
9,1998,119.5 
10,1998,120.7 
11,1998,80.2 
12,1998,84.6 
1,1999,83.1 
2,1999,107.3 
3,1999,126.5 
4,1999,165.4 
5,1999,79.7 
6,1999,67.9 
7,1999,75.9 
8,1999,58.9 
9,1999,114.9 
10,1999,98.8 
11,1999,75.2 
12,1999,70.5 
1,2000,86.9 
2,2000,107.6 
3,2000,122.8 
4,2000,171.3 
5,2000,79.5 
6,2000,67.0 
7,2000,78.1 
8,2000,59.3 
9,2000,116.8 
10,2000,116.2 
11,2000,85.5 
12,2000,90.3 
1,2001,90.0 
2,2001,120.5 
3,2001,130.3 
4,2001,142.7 
5,2001,82.4 
6,2001,62.4 
7,2001,74.7 
8,2001,51.5 
9,2001,100.4 
10,2001,116.2 
11,2001,74.4 
12,2001,66.6 
1,2002,81.5 
2,2002,98.9 
3,2002,104.5 
4,2002,172.6 
5,2002,82.5 
6,2002,65.4 
7,2002,73.9 
8,2002,58.5 
9,2002,102.7 
10,2002,118.9 
11,2002,82.8 
12,2002,76.2 
1,2003,85.8 
2,2003,98.9 
3,2003,107.2 
4,2003,182.6 
5,2003,80.3 
6,2003,67.7 
7,2003,71.6 
8,2003,56.6 
9,2003,123.1 
10,2003,127.3 
11,2003,74.3 
12,2003,72.5 
1,2004,88.6 
2,2004,95.6 
3,2004,115.9 
4,2004,190.7 
5,2004,80.2 
6,2004,68.5 
7,2004,75.9 
8,2004,67.9 
9,2004,120.1 
10,2004,116.9 
11,2004,78.9 
12,2004,76.0 
1,2005,92.8 
2,2005,97.1 
3,2005,111.3 
4,2005,158.0 
5,2005,79.1 
6,2005,64.4 
7,2005,69.6 
8,2005,63.8 
9,2005,116.6 
10,2005,102.0 
11,2005,78.4 
12,2005,83.2 
1,2006,85.6 
2,2006,104.5 
3,2006,112.7 
4,2006,166.8 
5,2006,84.4 
6,2006,67.1 
7,2006,72.3 
8,2006,60.7 
9,2006,120.9 
10,2006,115.2 
11,2006,75.7 
12,2006,72.1 
1,2007,78.3 
2,2007,101.4 
3,2007,109.9 
4,2007,194.6 
5,2007,87.1 
6,2007,66.7 
7,2007,69.7 
8,2007,60.1 
9,2007,108.5 
10,2007,124.0 
11,2007,79.2 
12,2007,72.2 
1,2008,90.4 
2,2008,97.4 
3,2008,100.7 
4,2008,185.0 
5,2008,93.5 
6,2008,70.9 
7,2008,72.2 
8,2008,54.2 
9,2008,112.1 
10,2008,126.0 
11,2008,73.0 
12,2008,75.2 
1,2009,90.5 
2,2009,102.6 
3,2009,108.8 
4,2009,201.9 
5,2009,88.4 
6,2009,64.4 
7,2009,68.8 
8,2009,61.1 
9,2009,111.1 
10,2009,121.6 
11,2009,80.7 
12,2009,78.7 
1,2010,87.6 
2,2010,101.2 
3,2010,126.7 
4,2010,201.1 
5,2010,81.6 
6,2010,65.9 
7,2010,71.0 
8,2010,64.6 
9,2010,111.1 
10,2010,135.1 
11,2010,81.5 
12,2010,72.8 
1,2011,92.3 
2,2011,95.6 
3,2011,111.0 
4,2011,179.9 
5,2011,93.6 
6,2011,66.0 
7,2011,75.6 
8,2011,61.7 
9,2011,140.9 
10,2011,125.9 
11,2011,98.3 
12,2011,86.4 
1,2012,86.3 
2,2012,102.8 
3,2012,123.2 
4,2012,211.0 
5,2012,97.3 
6,2012,68.0 
7,2012,79.7 
8,2012,58.8 
9,2012,108.1 
10,2012,129.1 
11,2012,84.3 
12,2012,76.5 
1,2013,94.5 
2,2013,112.5 
3,2013,115.5 
4,2013,187.7 
5,2013,96.3 
6,2013,64.0 
7,2013,74.0 
8,2013,62.3 
9,2013,152.0 
10,2013,128.3 
11,2013,73.4 
12,2013,74.1 
1,2014,85.0 
2,2014,99.6 
3,2014,102.9 
4,2014,199.0 
5,2014,87.4 
6,2014,65.9 
7,2014,77.4 
8,2014,59.6 
9,2014,107.4 
10,2014,127.6 
11,2014,80.6 
12,2014,76.6 
1,2015,89.3 
2,2015,91.1 
3,2015,107.0 
4,2015,178.1 
5,2015,93.4 
6,2015,73.1 
7,2015,75.2 
8,2015,68.8 
9,2015,126.7 
10,2015,111.8 
11,2015,81.6 
