month,year,value
1,1981,54.3 
2,1981,54.1 
3,1981,67.0 
4,1981,65.5 
5,1981,61.2 
6,1981,62.4 
7,1981,68.8 
8,1981,75.5 
9,1981,58.9 
10,1981,55.6 
11,1981,57.8 
12,1981,87.7 
1,1982,57.5 
2,1982,57.3 
3,1982,68.9 
4,1982,64.3 
5,1982,59.7 
6,1982,65.9 
7,1982,74.7 
8,1982,77.1 
9,1982,61.2 
10,1982,64.8 
11,1982,63.8 
12,1982,88.7 
1,1983,57.3 
2,1983,59.3 
3,1983,72.6 
4,1983,67.3 
5,1983,64.3 
6,1983,63.6 
7,1983,73.1 
8,1983,79.1 
9,1983,61.6 
10,1983,61.7 
11,1983,59.7 
12,1983,87.9 
1,1984,56.4 
2,1984,58.2 
3,1984,68.8 
4,1984,71.7 
5,1984,65.2 
6,1984,65.2 
7,1984,76.8 
8,1984,81.6 
9,1984,65.4 
10,1984,62.3 
11,1984,62.0 
12,1984,96.2 
1,1985,57.9 
2,1985,64.4 
3,1985,75.1 
4,1985,71.1 
5,1985,66.1 
6,1985,68.5 
7,1985,77.9 
8,1985,81.6 
9,1985,64.9 
10,1985,63.9 
11,1985,63.4 
12,1985,93.9 
1,1986,60.0 
2,1986,64.1 
3,1986,75.3 
4,1986,73.8 
5,1986,65.9 
6,1986,69.2 
7,1986,82.8 
8,1986,86.4 
9,1986,66.1 
10,1986,63.6 
11,1986,63.3 
12,1986,92.1 
1,1987,59.4 
2,1987,64.5 
3,1987,73.5 
4,1987,72.5 
5,1987,68.8 
6,1987,67.0 
7,1987,78.5 
8,1987,84.0 
9,1987,66.5 
10,1987,68.2 
11,1987,69.4 
12,1987,97.8 
1,1988,66.3 
2,1988,69.6 
3,1988,77.6 
4,1988,76.9 
5,1988,78.0 
6,1988,76.4 
7,1988,89.0 
8,1988,92.6 
9,1988,67.1 
10,1988,71.7 
11,1988,66.3 
12,1988,101.2 
1,1989,68.3 
2,1989,70.6 
3,1989,84.4 
4,1989,78.2 
5,1989,72.1 
6,1989,72.4 
7,1989,87.3 
8,1989,91.6 
9,1989,69.4 
10,1989,72.8 
11,1989,72.0 
12,1989,107.9 
1,1990,68.8 
2,1990,75.0 
3,1990,82.0 
4,1990,86.0 
5,1990,81.9 
6,1990,74.7 
7,1990,89.1 
8,1990,92.9 
9,1990,74.9 
10,1990,73.1 
11,1990,69.8 
12,1990,110.4 
1,1991,72.7 
2,1991,71.9 
3,1991,83.7 
4,1991,82.5 
5,1991,79.2 
6,1991,80.9 
7,1991,90.0 
8,1991,96.2 
9,1991,76.8 
10,1991,74.1 
11,1991,76.6 
12,1991,108.1 
1,1992,76.1 
2,1992,78.5 
3,1992,88.3 
4,1992,80.9 
5,1992,79.8 
6,1992,80.4 
7,1992,94.3 
8,1992,100.7 
9,1992,76.1 
10,1992,72.4 
11,1992,75.4 
12,1992,101.9 
1,1993,72.2 
2,1993,76.1 
3,1993,89.9 
4,1993,85.2 
5,1993,80.3 
6,1993,80.9 
7,1993,93.4 
8,1993,98.7 
9,1993,77.6 
10,1993,79.2 
11,1993,75.1 
12,1993,110.6 
1,1994,75.3 
2,1994,76.3 
3,1994,87.8 
4,1994,86.0 
5,1994,81.3 
6,1994,76.8 
7,1994,88.3 
8,1994,91.7 
9,1994,75.8 
10,1994,74.8 
11,1994,72.1 
12,1994,107.3 
1,1995,66.0 
2,1995,69.3 
3,1995,81.7 
4,1995,83.5 
5,1995,79.9 
6,1995,76.5 
7,1995,83.5 
8,1995,89.2 
9,1995,74.5 
10,1995,77.8 
11,1995,77.2 
12,1995,103.8 
1,1996,73.9 
2,1996,75.7 
3,1996,81.5 
4,1996,86.0 
5,1996,80.7 
6,1996,82.5 
7,1996,84.1 
8,1996,93.2 
9,1996,77.5 
10,1996,73.8 
11,1996,77.5 
12,1996,102.9 
1,1997,75.9 
2,1997,80.2 
3,1997,94.1 
4,1997,86.4 
5,1997,80.1 
6,1997,80.3 
7,1997,87.5 
8,1997,96.0 
9,1997,75.2 
10,1997,76.6 
11,1997,74.5 
12,1997,97.8 
1,1998,70.5 
2,1998,74.2 
3,1998,85.1 
4,1998,83.9 
5,1998,82.3 
6,1998,76.6 
7,1998,82.8 
8,1998,93.3 
9,1998,82.1 
10,1998,74.8 
11,1998,81.9 
12,1998,105.9 
1,1999,78.3 
2,1999,79.0 
3,1999,90.4 
4,1999,90.4 
5,1999,84.3 
6,1999,83.5 
7,1999,91.3 
8,1999,96.9 
9,1999,77.7 
10,1999,78.5 
11,1999,80.5 
12,1999,101.4 
1,2000,75.8 
2,2000,76.8 
3,2000,87.6 
4,2000,85.8 
5,2000,82.4 
6,2000,81.7 
7,2000,88.0 
8,2000,92.5 
9,2000,75.9 
10,2000,78.8 
11,2000,77.7 
12,2000,101.5 
1,2001,76.5 
2,2001,82.4 
3,2001,89.6 
4,2001,90.8 
5,2001,82.7 
6,2001,85.0 
7,2001,87.9 
8,2001,88.8 
9,2001,76.8 
10,2001,75.2 
11,2001,82.2 
12,2001,99.7 
1,2002,79.7 
2,2002,81.3 
3,2002,86.5 
4,2002,90.1 
5,2002,84.0 
6,2002,79.3 
7,2002,89.6 
8,2002,87.8 
9,2002,80.4 
10,2002,84.9 
11,2002,83.3 
12,2002,98.4 
1,2003,77.3 
2,2003,81.1 
3,2003,83.4 
4,2003,86.4 
5,2003,80.7 
6,2003,82.0 
7,2003,88.1 
8,2003,89.4 
9,2003,77.1 
10,2003,83.2 
11,2003,83.7 
12,2003,100.7 
1,2004,78.8 
2,2004,86.7 
3,2004,87.3 
4,2004,97.0 
5,2004,91.4 
6,2004,85.0 
7,2004,87.6 
8,2004,96.6 
9,2004,81.3 
10,2004,82.2 
11,2004,83.2 
12,2004,102.1 
1,2005,78.6 
2,2005,84.8 
3,2005,90.0 
4,2005,91.6 
5,2005,86.7 
6,2005,88.0 
7,2005,88.9 
8,2005,96.0 
9,2005,86.9 
10,2005,89.3 
11,2005,85.2 
12,2005,99.8 
1,2006,77.4 
2,2006,89.0 
3,2006,88.6 
4,2006,94.8 
5,2006,91.6 
6,2006,84.5 
7,2006,84.1 
8,2006,87.9 
9,2006,82.7 
10,2006,88.5 
11,2006,88.5 
12,2006,102.6 
1,2007,82.1 
2,2007,91.6 
3,2007,90.5 
4,2007,96.2 
5,2007,95.6 
6,2007,89.1 
7,2007,90.0 
8,2007,98.1 
9,2007,86.8 
10,2007,87.5 
11,2007,88.7 
12,2007,111.1 
1,2008,84.6 
2,2008,89.5 
3,2008,94.1 
4,2008,100.9 
5,2008,92.9 
6,2008,93.3 
7,2008,93.4 
8,2008,95.0 
9,2008,93.6 
10,2008,87.4 
11,2008,92.5 
12,2008,108.2 
1,2009,87.3 
2,2009,92.7 
3,2009,95.1 
4,2009,101.0 
5,2009,93.7 
6,2009,91.0 
7,2009,94.4 
8,2009,104.6 
9,2009,95.4 
10,2009,88.9 
11,2009,98.8 
12,2009,113.6 
1,2010,88.3 
2,2010,92.9 
3,2010,105.0 
4,2010,96.3 
5,2010,97.8 
6,2010,98.4 
7,2010,93.8 
8,2010,104.7 
9,2010,94.2 
10,2010,100.3 
11,2010,116.0 
12,2010,112.4 
1,2011,85.6 
2,2011,95.7 
3,2011,88.4 
4,2011,97.7 
5,2011,91.0 
6,2011,96.7 
7,2011,101.8 
8,2011,98.0 
9,2011,91.9 
10,2011,92.8 
