month,year,value
1,1981,94.7 
2,1981,111.6 
3,1981,112.8 
4,1981,114.9 
5,1981,113.4 
6,1981,115.5 
7,1981,115.5 
8,1981,115.9 
9,1981,113.6 
10,1981,113.1 
11,1981,113.1 
12,1981,154.6 
1,1982,94.7 
2,1982,112.4 
3,1982,114.1 
4,1982,115.1 
5,1982,117.8 
6,1982,120.2 
7,1982,120.1 
8,1982,117.0 
9,1982,114.7 
10,1982,115.0 
11,1982,114.6 
12,1982,155.3 
1,1983,95.9 
2,1983,112.2 
3,1983,113.7 
4,1983,114.3 
5,1983,115.5 
6,1983,117.5 
7,1983,117.5 
8,1983,117.3 
9,1983,115.9 
10,1983,114.2 
11,1983,113.6 
12,1983,153.1 
1,1984,95.0 
2,1984,109.8 
3,1984,112.7 
4,1984,114.9 
5,1984,111.7 
6,1984,115.3 
7,1984,114.8 
8,1984,116.2 
9,1984,114.9 
10,1984,112.2 
11,1984,112.6 
12,1984,152.3 
1,1985,94.2 
2,1985,111.1 
3,1985,112.8 
4,1985,112.4 
5,1985,114.3 
6,1985,115.8 
7,1985,115.4 
8,1985,115.6 
9,1985,113.9 
10,1985,112.1 
11,1985,112.8 
12,1985,152.5 
1,1986,94.9 
2,1986,111.0 
3,1986,113.8 
4,1986,113.9 
5,1986,114.6 
6,1986,115.9 
7,1986,115.6 
8,1986,117.2 
9,1986,114.1 
10,1986,112.6 
11,1986,113.9 
12,1986,150.9 
1,1987,95.8 
2,1987,112.7 
3,1987,113.2 
4,1987,111.7 
5,1987,114.9 
6,1987,115.6 
7,1987,115.3 
8,1987,116.6 
9,1987,113.5 
10,1987,113.6 
11,1987,114.6 
12,1987,151.9 
1,1988,99.5 
2,1988,113.6 
3,1988,113.9 
4,1988,114.7 
5,1988,116.5 
6,1988,116.1 
7,1988,117.9 
8,1988,117.4 
9,1988,113.6 
10,1988,113.2 
11,1988,113.4 
12,1988,150.1 
1,1989,98.3 
2,1989,114.0 
3,1989,119.1 
4,1989,111.3 
5,1989,115.4 
6,1989,115.8 
7,1989,116.6 
8,1989,118.0 
9,1989,116.3 
10,1989,114.2 
11,1989,116.9 
12,1989,153.4 
1,1990,100.1 
2,1990,114.1 
3,1990,114.8 
4,1990,115.4 
5,1990,117.3 
6,1990,117.8 
7,1990,118.8 
8,1990,119.9 
9,1990,118.5 
10,1990,114.7 
11,1990,115.6 
12,1990,154.7 
1,1991,100.8 
2,1991,115.0 
3,1991,116.9 
4,1991,115.0 
5,1991,117.3 
6,1991,118.5 
7,1991,116.5 
8,1991,118.0 
9,1991,116.0 
10,1991,113.7 
11,1991,113.7 
12,1991,150.7 
1,1992,101.3 
2,1992,116.2 
3,1992,115.8 
4,1992,113.5 
5,1992,117.2 
6,1992,116.5 
7,1992,116.6 
8,1992,118.2 
9,1992,115.9 
10,1992,115.5 
11,1992,115.3 
12,1992,149.6 
1,1993,100.4 
2,1993,114.6 
3,1993,114.2 
4,1993,114.7 
5,1993,117.3 
6,1993,114.9 
7,1993,114.2 
8,1993,114.6 
9,1993,113.6 
10,1993,115.9 
11,1993,113.3 
12,1993,147.4 
1,1994,100.1 
2,1994,114.0 
3,1994,112.7 
4,1994,109.4 
5,1994,112.0 
6,1994,112.6 
7,1994,114.6 
8,1994,115.4 
9,1994,113.4 
10,1994,112.0 
11,1994,109.6 
12,1994,143.7 
1,1995,96.0 
2,1995,108.8 
3,1995,108.3 
4,1995,110.9 
5,1995,112.1 
6,1995,111.6 
7,1995,112.7 
8,1995,114.4 
9,1995,111.9 
10,1995,111.7 
11,1995,112.0 
12,1995,143.2 
1,1996,99.1 
2,1996,110.0 
3,1996,110.8 
4,1996,110.8 
5,1996,111.0 
6,1996,112.9 
